[04:57:30] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[04:57:31] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[04:57:31] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[04:57:31] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[04:57:31] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[04:57:31] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[04:57:31] [ServerMain/INFO]: Reloading ResourceManager: Default
[04:57:32] [Worker-Main-2/INFO]: Loaded 7 recipes
[04:57:33] [Worker-Main-2/INFO]: Loaded 1141 advancements
[04:57:38] [Server thread/INFO]: Starting minecraft server version 1.18.1
[04:57:38] [Server thread/INFO]: Loading properties
[04:57:38] [Server thread/INFO]: Default game type: SURVIVAL
[04:57:38] [Server thread/INFO]: Generating keypair
[04:57:38] [Server thread/INFO]: Starting Minecraft server on *:25565
[04:57:39] [Server thread/INFO]: Using epoll channel type
[04:57:39] [Server thread/INFO]: Preparing level "world"
[04:59:10] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:10] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:11] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:11] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:13] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:13] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:15] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:15] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:16] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:16] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:19] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:19] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:20] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:20] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:28] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:28] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:33] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:33] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:35] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:35] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:36] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:36] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:37] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:37] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:38] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:38] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:39] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:39] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:41] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:41] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:42] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:42] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:43] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:43] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:45] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[04:59:45] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[04:59:45] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[04:59:45] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[04:59:46] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[04:59:46] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[04:59:47] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[04:59:47] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[04:59:49] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[04:59:49] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[04:59:49] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[04:59:49] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[04:59:51] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[04:59:51] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[04:59:52] [Worker-Main-2/INFO]: Preparing spawn area: 33%
[04:59:52] [Worker-Main-2/INFO]: Preparing spawn area: 33%
[04:59:52] [Worker-Main-2/INFO]: Preparing spawn area: 33%
[04:59:53] [Worker-Main-2/INFO]: Preparing spawn area: 37%
[04:59:53] [Worker-Main-2/INFO]: Preparing spawn area: 37%
[04:59:53] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[04:59:54] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[04:59:55] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[04:59:55] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[04:59:56] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[04:59:58] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[04:59:58] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[04:59:58] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[04:59:58] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[04:59:58] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[04:59:58] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[04:59:59] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[04:59:59] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[05:00:01] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[05:00:02] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[05:00:02] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[05:00:02] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[05:00:02] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[05:00:02] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[05:00:03] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[05:00:03] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[05:00:04] [Worker-Main-2/INFO]: Preparing spawn area: 73%
[05:00:04] [Worker-Main-2/INFO]: Preparing spawn area: 75%
[05:00:05] [Worker-Main-2/INFO]: Preparing spawn area: 77%
[05:00:05] [Worker-Main-2/INFO]: Preparing spawn area: 80%
[05:00:07] [Worker-Main-2/INFO]: Preparing spawn area: 80%
[05:00:07] [Worker-Main-2/INFO]: Preparing spawn area: 80%
[05:00:07] [Worker-Main-2/INFO]: Preparing spawn area: 80%
[05:00:08] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[05:00:08] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[05:00:09] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[05:00:09] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[05:00:10] [Worker-Main-2/INFO]: Preparing spawn area: 92%
[05:00:10] [Worker-Main-2/INFO]: Preparing spawn area: 92%
[05:00:10] [Worker-Main-2/INFO]: Preparing spawn area: 92%
[05:00:12] [Server thread/INFO]: Time elapsed: 138118 ms
[05:00:12] [Server thread/INFO]: Done (153.478s)! For help, type "help"
[05:01:03] [Server thread/INFO]: /advancement (grant|revoke)
[05:01:03] [Server thread/INFO]: /attribute <target> <attribute> (get|base|modifier)
[05:01:03] [Server thread/INFO]: /execute (run|if|unless|as|at|store|positioned|rotated|facing|align|anchored|in)
[05:01:03] [Server thread/INFO]: /bossbar (add|remove|list|set|get)
[05:01:03] [Server thread/INFO]: /clear [<targets>]
[05:01:03] [Server thread/INFO]: /clone <begin> <end> <destination> [replace|masked|filtered]
[05:01:03] [Server thread/INFO]: /data (merge|get|remove|modify)
[05:01:03] [Server thread/INFO]: /datapack (enable|disable|list)
[05:01:03] [Server thread/INFO]: /debug (start|stop|function)
[05:01:03] [Server thread/INFO]: /defaultgamemode (survival|creative|adventure|spectator)
[05:01:03] [Server thread/INFO]: /difficulty [peaceful|easy|normal|hard]
[05:01:03] [Server thread/INFO]: /effect (clear|give)
[05:01:03] [Server thread/INFO]: /me <action>
[05:01:03] [Server thread/INFO]: /enchant <targets> <enchantment> [<level>]
[05:01:03] [Server thread/INFO]: /experience (add|set|query)
[05:01:03] [Server thread/INFO]: /xp -> experience
[05:01:03] [Server thread/INFO]: /fill <from> <to> <block> [replace|keep|outline|hollow|destroy]
[05:01:03] [Server thread/INFO]: /forceload (add|remove|query)
[05:01:03] [Server thread/INFO]: /function <name>
[05:01:03] [Server thread/INFO]: /gamemode (survival|creative|adventure|spectator)
[05:01:03] [Server thread/INFO]: /gamerule (announceAdvancements|commandBlockOutput|disableElytraMovementCheck|disableRaids|doDaylightCycle|doEntityDrops|doFireTick|doImmediateRespawn|doInsomnia|doLimitedCrafting|doMobLoot|doMobSpawning|doPatrolSpawning|doTileDrops|doTraderSpawning|doWeatherCycle|drowningDamage|fallDamage|fireDamage|forgiveDeadPlayers|freezeDamage|keepInventory|logAdminCommands|maxCommandChainLength|maxEntityCramming|mobGriefing|naturalRegeneration|playersSleepingPercentage|randomTickSpeed|reducedDebugInfo|sendCommandFeedback|showDeathMessages|spawnRadius|spectatorsGenerateChunks|universalAnger)
[05:01:03] [Server thread/INFO]: /give <targets> <item> [<count>]
[05:01:03] [Server thread/INFO]: /help [<command>]
[05:01:03] [Server thread/INFO]: /item (replace|modify)
[05:01:03] [Server thread/INFO]: /kick <targets> [<reason>]
[05:01:03] [Server thread/INFO]: /kill [<targets>]
[05:01:03] [Server thread/INFO]: /list [uuids]
[05:01:03] [Server thread/INFO]: /locate (pillager_outpost|mineshaft|mansion|jungle_pyramid|desert_pyramid|igloo|ruined_portal|shipwreck|swamp_hut|stronghold|monument|ocean_ruin|fortress|endcity|buried_treasure|village|nether_fossil|bastion_remnant)
[05:01:03] [Server thread/INFO]: /locatebiome <biome>
[05:01:03] [Server thread/INFO]: /loot (replace|insert|give|spawn)
[05:01:03] [Server thread/INFO]: /msg <targets> <message>
[05:01:03] [Server thread/INFO]: /tell -> msg
[05:01:03] [Server thread/INFO]: /w -> msg
[05:01:03] [Server thread/INFO]: /particle <name> [<pos>]
[05:01:03] [Server thread/INFO]: /playsound <sound> (master|music|record|weather|block|hostile|neutral|player|ambient|voice)
[05:01:03] [Server thread/INFO]: /reload
[05:01:03] [Server thread/INFO]: /recipe (give|take)
[05:01:03] [Server thread/INFO]: /say <message>
[05:01:03] [Server thread/INFO]: /schedule (function|clear)
[05:01:03] [Server thread/INFO]: /scoreboard (objectives|players)
[05:01:03] [Server thread/INFO]: /seed
[05:01:03] [Server thread/INFO]: /setblock <pos> <block> [destroy|keep|replace]
[05:01:03] [Server thread/INFO]: /spawnpoint [<targets>]
[05:01:03] [Server thread/INFO]: /setworldspawn [<pos>]
[05:01:03] [Server thread/INFO]: /spectate [<target>]
[05:01:03] [Server thread/INFO]: /spreadplayers <center> <spreadDistance> <maxRange> (<respectTeams>|under)
[05:01:03] [Server thread/INFO]: /stopsound <targets> [*|master|music|record|weather|block|hostile|neutral|player|ambient|voice]
[05:01:03] [Server thread/INFO]: /summon <entity> [<pos>]
[05:01:03] [Server thread/INFO]: /tag <targets> (add|remove|list)
[05:01:03] [Server thread/INFO]: /team (list|add|remove|empty|join|leave|modify)
[05:01:03] [Server thread/INFO]: /teammsg <message>
[05:01:03] [Server thread/INFO]: /tm -> teammsg
[05:01:03] [Server thread/INFO]: /teleport (<location>|<destination>|<targets>)
[05:01:03] [Server thread/INFO]: /tp -> teleport
[05:01:03] [Server thread/INFO]: /tellraw <targets> <message>
[05:01:03] [Server thread/INFO]: /time (set|add|query)
[05:01:03] [Server thread/INFO]: /title <targets> (clear|reset|title|subtitle|actionbar|times)
[05:01:03] [Server thread/INFO]: /trigger <objective> [add|set]
[05:01:03] [Server thread/INFO]: /weather (clear|rain|thunder)
[05:01:03] [Server thread/INFO]: /worldborder (add|set|center|damage|get|warning)
[05:01:03] [Server thread/INFO]: /jfr (start|stop)
[05:01:03] [Server thread/INFO]: /ban-ip <target> [<reason>]
[05:01:03] [Server thread/INFO]: /banlist [ips|players]
[05:01:03] [Server thread/INFO]: /ban <targets> [<reason>]
[05:01:03] [Server thread/INFO]: /deop <targets>
[05:01:03] [Server thread/INFO]: /op <targets>
[05:01:03] [Server thread/INFO]: /pardon <targets>
[05:01:03] [Server thread/INFO]: /pardon-ip <target>
[05:01:03] [Server thread/INFO]: /perf (start|stop)
[05:01:03] [Server thread/INFO]: /save-all [flush]
[05:01:03] [Server thread/INFO]: /save-off
[05:01:03] [Server thread/INFO]: /save-on
